step,C1,C2,C3,N_P3,A_E,Delta,R,C_mean
25,0.3267467156102313,0.2774842801670775,0.2528530624455007,0.2856946860742698,0.4476897976897238,0.8036547022688881,0.19634529773111167,0.2856946860742698
26,0.3353577999082417,0.28672544380396675,0.2624092657518294,0.2948308364880126,0.45345264200720226,0.7908644426479262,0.20913555735207356,0.2948308364880126
27,0.3442435225625066,0.2962613412865925,0.2722702506486355,0.3042583714992449,0.45955563811804273,0.7774952604728579,0.22250473952714184,0.3042583714992449
28,0.3534125489855515,0.3061012720820553,0.2824456336303073,0.3139864848993047,0.4660264459662887,0.7635128954661486,0.23648710453385102,0.3139864848993047
29,0.3628738048858808,0.3162548149994818,0.29294532005628243,0.324024646647215,0.472895760200984,0.7488802949022416,0.2511197050977581,0.324024646647215
30,0.372636482030046,0.32673183437370795,0.303779510545539,0.33438260898309763,0.4801977375203412,0.7335573067422326,0.2664426932577671,0.33438260898309763
31,0.38271004375301176,0.3375424859788419,0.31495870709175705,0.3450704122745369,0.4879704981767651,0.7175003295122494,0.2824996704877503,0.3450704122745369
32,0.3931042301242211,0.3486972225723348,0.3264937187963918,0.3560983904976493,0.49625671707051094,0.7006619114138827,0.29933808858611705,0.3560983904976493
33,0.40382906265498647,0.36020679894681473,0.33839566709272895,0.36747717623151005,0.5051043236323256,0.6829902895916371,0.3170097104083627,0.36747717623151005
34,0.4148948484055544,0.3720822763376681,0.3506759903037251,0.37921770501564916,0.5145673345364975,0.6644288585365637,0.33557114146343603,0.37921770501564916
35,0.4263121833158402,0.384335025997487,0.36334644733831056,0.3913312188838793,0.5247068495418922,0.6449155541686687,0.3550844458313311,0.3913312188838793
36,0.438091954540313,0.3969767317017993,0.3764191202825426,0.4038292688415517,0.5355922489039003,0.6243821370698739,0.375617862930126,0.4038292688415517
37,0.45024534151203904,0.41001939089096867,0.38990641558043365,0.4167237159944805,0.547302641489401,0.6027533544426674,0.39724664555733247,0.4167237159944805
38,0.46278381538969776,0.42347531407674877,0.40382106342027446,0.4300267309622403,0.5599286268724281,0.5799459553891616,0.4200540446108383,0.4300267309622403
39,0.4757191364493615,0.43735712204321714,0.41817611484014516,0.443750791110908,0.5735744535756409,0.5558675276905489,0.4441324723094509,0.443750791110908
40,0.4890633488629432,0.45167774024315854,0.43298493593326637,0.4579086750131227,0.5883606810823798,0.5304151159370292,0.46958488406297066,0.4579086750131227
41,0.502828772147746,0.46645038962197133,0.4482611983590841,0.47251345337626716,0.6044274879132233,0.5034735699466041,0.49652643005339575,0.47251345337626716
42,0.5170279883628369,0.4816885728771908,0.4640188651343679,0.4875784754581319,0.6219388157867298,0.4749135579836622,0.5250864420163377,0.4875784754581319
43,0.5316738238486902,0.49740605486200895,0.4802721703686685,0.5031173496931226,0.6410876063542209,0.44458916002070925,0.5554108399792906,0.5031173496931226
44,0.5467793239289372,0.5136168354359326,0.49703559118943047,0.5191439168514335,0.662102480743469,0.4123349302777049,0.5876650697222949,0.5191439168514335
45,0.562357718476767,0.5303351125116523,0.5143238095290952,0.5356722135058382,0.6852563461587992,0.37796228275668337,0.6220377172433165,0.5356722135058382
46,0.5784223755340022,0.5475752322803925,0.5321516606535879,0.5527164228226609,0.710877608187438,0.3412550043801027,0.6587449956198972,0.5527164228226609
47,0.5949867391689464,0.5653516225227716,0.5505340641996844,0.5702908086304674,0.7393649539846275,0.3019636315138937,0.6980363684861062,0.5702908086304674
48,0.612064246333893,0.5836787033827143,0.5694859319071253,0.5884096272079108,0.7712071011805972,0.2597983277658016,0.7402016722341983,0.5884096272079108
49,0.6296682154239869,0.6025707677720833,0.5890220439461319,0.6070870090474006,0.8070095640049021,0.2144197594752247,0.7855802405247752,0.6070870090474006
50,0.6478116962124953,0.6220418203256046,0.6091568823821596,0.6263367996400865,0.8475315127552395,0.16542725722678642,0.8345727427732135,0.6263367996400865
51,0.6665072663043741,0.6421053589607916,0.6299044052890006,0.6461723435180554,0.8937374386791066,0.11234323969746263,0.8876567603025373,0.6461723435180554
52,0.6857667523174724,0.6627740756577752,0.6512777373279268,0.6666061884343916,0.9468710156635339,0.05459239817335236,0.9454076018266475,0.6666061884343916
53,0.7056008431506621,0.6840594414299788,0.6732887405696373,0.6876496750500927,1.0,0.0,1.0085266096956944,0.6876496750500927
54,0.7258451916049089,0.7057850836735607,0.6957550297078868,0.7091284349954522,1.0,0.0,1.0772915772007037,0.7091284349954522
55,0.7452862886272777,0.7266486999902493,0.7173299056717353,0.7297549647630874,1.0,0.0,1.1482044207002489,0.7297549647630874
56,0.7638741481740253,0.7465966468209052,0.7379578961443454,0.7494762303797587,1.0,0.0,1.2211799171765576,0.7494762303797587
57,0.7815712195061995,0.7655886258115311,0.7575973289641971,0.7682523914273093,1.0,0.0,1.2961275402145336,0.7682523914273093
58,0.7983520628032907,0.7835973356913364,0.7762199721353593,0.7860564568766621,1.0,0.0,1.3729527793572645,0.7860564568766621
59,0.814202729108224,0.8006078068478502,0.7938103457176633,0.8028736272245792,1.0,0.0,1.4515584250449307,0.8028736272245792
60,0.8291199019891548,0.8166164801834832,0.8103647692806475,0.8187003838177618,1.0,0.0,1.5318457877673886,0.8187003838177618
61,0.8431098621719844,0.8316300959894467,0.8258902128981779,0.8335433903532029,1.0,0.0,1.6137158261491646,0.8335433903532029
62,0.8561873359117989,0.8456644580516867,0.8404030191216306,0.8474182710283721,1.0,0.0,1.6970701651844848,0.8474182710283721
63,0.8683742838271596,0.8587431338632933,0.8539275588813602,0.8603483255239377,1.0,0.0,1.7818119922873221,0.8603483255239377
64,0.8796986802776788,0.8708961446882407,0.8664948768935218,0.8723632339531471,1.0,0.0,1.867846824839716,0.8723632339531471
65,0.8901933251098584,0.8821586903617993,0.8781413729877698,0.8834977961531424,1.0,0.0,1.9550831482350306,0.8834977961531424
66,0.8998947206366928,0.8925699440979143,0.8889075558285252,0.8937907401877108,1.0,0.0,2.0434329278503447,0.8937907401877108
67,0.9088420378105756,0.9021719430162276,0.8988368956190537,0.9032836254819524,1.0,0.0,2.132812001869116,0.9032836254819524
68,0.9170761872683766,0.9110085912148433,0.9079747931880767,0.9120198572237656,1.0,0.0,2.2231403644173113,0.9120198572237656
69,0.9246390036531711,0.9191247844082814,0.9163676747858365,0.9200438209490963,1.0,0.0,2.314342350139688,0.9200438209490963
70,0.9315725455561178,0.92656565864559,0.9240622151903262,0.9274001397973447,1.0,0.0,2.4063467322345975,0.9274001397973447
71,0.9379185086378411,0.9333759604893906,0.9311046864151654,0.9341330518474656,1.0,0.0,2.499086746214332,0.9341330518474656
72,0.9437177459367787,0.9395995322248358,0.9375404253688644,0.9402859011768263,1.0,0.0,2.5925000513990786,0.9402859011768263
73,0.9490098869349887,0.9452789030521831,0.9434134111107803,0.9459007336993173,1.0,0.0,2.686528641516761,0.9459007336993173
74,0.9538330454709492,0.9504549756273603,0.9487659407055657,0.9510179872679584,1.0,0.0,2.7811187148866927,0.9510179872679584
75,0.9582236058884,0.9551667965631613,0.9536383919005418,0.9556762647840343,1.0,0.0,2.8762205136134886,0.9556762647840343
76,0.962216076716472,0.9594513994030434,0.9580690607463289,0.9599121789552815,1.0,0.0,2.971788140091892,0.9599121789552815
77,0.9658430015293291,0.9633437089583046,0.9620940626727922,0.963760257720142,1.0,0.0,3.06777935798742,0.963760257720142
78,0.9691349172942332,0.9668764966084454,0.9657472862655515,0.9672529000560767,1.0,0.0,3.164155383759434,0.9672529000560767
79,0.9721203513699955,0.9700803770799953,0.9690603899349951,0.9704203727949953,1.0,0.0,3.2608806737650418,0.9704203727949953
80,0.9748258492716878,0.972983838242787,0.9720628327283365,0.9732908400809371,1.0,0.0,3.3579227110445413,0.9732908400809371
81,0.9772760263027561,0.975613296520031,0.9747819316286684,0.9758904181504852,1.0,0.0,3.455251795052635,0.9758904181504852
82,0.9794936371221005,0.9779931715456689,0.977242938757453,0.9782432491417409,1.0,0.0,3.5528408368676834,0.9782432491417409
83,0.9814996582270761,0.9801459746827159,0.9794691329105357,0.980371588606776,1.0,0.0,3.6506651617818573,0.980371588606776
84,0.9833133791724451,0.9820924069167704,0.981481920788933,0.9822959022927162,1.0,0.0,3.748702320642535,0.9822959022927162
85,0.984952499098647,0.9838514624473286,0.9833009441216694,0.9840349685558817,1.0,0.0,3.8469319108718065,0.9840349685558817
86,0.9864332258062778,0.9854405350116152,0.984944189614284,0.9856059834773924,1.0,0.0,3.9453354077273945,0.9856059834773924
87,0.9877703751884597,0.9868755245924934,0.9864280992945103,0.9870246663584877,1.0,0.0,4.043896006075133,0.9870246663584877
88,0.9889774693233897,0.9881709426885158,0.9877676793710789,0.9883053637943281,1.0,0.0,4.142598472710982,0.9883053637943281
89,0.9900668319424178,0.9893400147674728,0.9889766061800004,0.989461150963297,1.0,0.0,4.241429009090415,0.989461150963297
90,0.9910496803323146,0.9903947788932156,0.9900673281736663,0.9905039291330655,1.0,0.0,4.340375124186744,0.9905039291330655
91,0.9919362130120984,0.9913461798178618,0.9910511632207436,0.991444518683568,1.0,0.0,4.439425517100051,0.991444518683568
92,0.9927356927529971,0.9922041580763872,0.9919383907380823,0.9922927471891555,1.0,0.0,4.538569968968408,0.9922927471891555
93,0.9934565246924526,0.9929777338162906,0.9927383383782097,0.993057532295651,1.0,0.0,4.637799243687323,0.993057532295651
94,0.9941063294366077,0.9936750852490424,0.9934594631552598,0.9937469592803033,1.0,0.0,4.737104996916888,0.9937469592803033
95,0.9946920111567448,0.9943036217291895,0.9941094270154119,0.9943683533004487,1.0,0.0,4.836479692844918,0.9943683533004487
96,0.9952198207692853,0.9948700515572817,0.99469516695128,0.9949283464259491,1.0,0.0,4.935916528174963,0.9949283464259491
97,0.9956954143510487,0.9953804446694181,0.9952229598286029,0.9954329396163565,1.0,0.0,5.035409362817558,0.9954329396163565
98,0.9961239069856853,0.9958402904236623,0.9956984821426508,0.9958875598506661,1.0,0.0,5.134952656779194,0.9958875598506661
99,0.9965099222670634,0.996254550725629,0.9961268649549118,0.9962971126492013,1.0,0.0,5.23454141276426,0.9962971126492013
100,0.996857637703888,0.996627708755392,0.9965127442811439,0.996666030246808,1.0,0.0,5.33417112402918,0.996666030246808
101,0.9971708262794143,0.9969638135681519,0.9968603072125207,0.9969983156866956,1.0,0.0,5.433837727053861,0.9969983156866956
102,0.9974528944228352,0.9972665208440182,0.9971733340546097,0.9972975831071543,1.0,0.0,5.53353755862253,0.9972975831071543
103,0.9977069166464377,0.9975391300595917,0.9974552367661687,0.9975670944907327,1.0,0.0,5.633267316933246,0.9975670944907327
104,0.9979356670962816,0.997784618347229,0.9977090939727027,0.9978097931387376,1.0,0.0,5.733024026382319,0.9978097931387376
105,0.9981416482550445,0.9980056712980965,0.9979376828196225,0.9980283341242545,1.0,0.0,5.832805005696192,0.9980283341242545
106,0.9983271170246679,0.9982047109533022,0.9981435079176193,0.9982251119651965,1.0,0.0,5.932607839108618,0.9982251119651965
107,0.9984941084042035,0.9983839212142672,0.998328827619299,0.9984022857459233,1.0,0.0,6.0324303503051375,0.9984022857459233
108,0.9986444569653363,0.9985452708896293,0.9984956778517757,0.9985618019022472,1.0,0.0,6.13227057887973,0.9985618019022472
109,0.9987798163148613,0.9986905345818025,0.998645893715273,0.9987054148706456,1.0,0.0,6.2321267590699545,0.9987054148706456
110,0.9989016767202098,0.9988213116021765,0.9987811290431597,0.9988347057885153,1.0,0.0,6.331997300557019,0.9988347057885153
111,0.9990113810612128,0.9989390430900821,0.9989028741045167,0.9989510994186039,1.0,0.0,6.43188077113587,0.9989510994186039
112,0.9991101392587936,0.9990450274972419,0.9990124716164661,0.9990558794575005,1.0,0.0,6.53177588107773,0.9990558794575005
113,0.9991990413193336,0.999140434586602,0.9991111312202362,0.9991502023753905,1.0,0.0,6.631681469023481,0.9991502023753905
114,0.9992790691221218,0.9992263180822771,0.9991999425623548,0.9992351099222513,1.0,0.0,6.73159648926102,0.9992351099222513
115,0.9993511070666221,0.9993036270958872,0.9992798871105197,0.999311540424343,1.0,0.0,6.831520000253245,0.999311540424343
116,0.9994159516863046,0.999373216443839,0.9993518488226063,0.9993803389842499,1.0,0.0,6.931451154295679,0.9993803389842499
117,0.999474320326477,0.9994358559601216,0.999416623776944,0.9994422666878475,1.0,0.0,7.031389188194105,0.9994422666878475
118,0.9995268589749228,0.9994922388999171,0.9994749288624143,0.999498008912418,1.0,0.0,7.1313334148628895,0.999498008912418
119,0.9995741493261727,0.9995429895207707,0.9995274096180697,0.999548182821671,1.0,0.0,7.231283215754131,0.999548182821671
